nome_bairro,desc_atividade,nome_grupo,n
SANTO AMARO,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,19
SANTO ANTONIO,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,OUTRAS ATIVIDADES VAREJISTAS,19
SAO JOSE,COMÉRCIO ATACADISTA DE TECIDOS,COMERCIO ATACADISTA,19
VARZEA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,19
AFOGADOS,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,18
AFOGADOS,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,INDUSTRIA GERAL,18
BOA VIAGEM,CORRETAGEM NO ALUGUEL DE IMÓVEIS,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",18
BOA VIAGEM,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,EDUCACAO,18
BOA VIAGEM,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,OUTROS SERVICOS,18
CAMPO GRANDE,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",18
CORDEIRO,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,18
CORDEIRO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,18
GRACAS,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",OUTRAS ATIVIDADES VAREJISTAS,18
GRACAS,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,18
IPUTINGA,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,18
MADALENA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,18
PINA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,18
SANTO ANTONIO,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",OUTRAS ATIVIDADES VAREJISTAS,18
SAO JOSE,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",OUTRAS ATIVIDADES VAREJISTAS,18
SAO JOSE,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,18
VARZEA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,18
AFOGADOS,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,17
BOA VIAGEM,ENSINO DE IDIOMAS,EDUCACAO,17
BOA VIAGEM,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",TRANSPORTE E COMUNICACAO,17
BOA VISTA,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,17
BOA VISTA,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,EDUCACAO,17
CAMPO GRANDE,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,17
CAMPO GRANDE,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,17
CASA AMARELA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,17
CASA AMARELA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,17
ESPINHEIRO,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,17
IPSEP,COMÉRCIO VAREJISTA DE BEBIDAS,OUTRAS ATIVIDADES VAREJISTAS,17
IPUTINGA,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,EDUCACAO,17
IPUTINGA,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,17
MADALENA,ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",17
MADALENA,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,17
PINA,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",OUTRAS ATIVIDADES VAREJISTAS,17
RECIFE,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,17
SANTO ANTONIO,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,OUTRAS ATIVIDADES VAREJISTAS,17
SAO JOSE,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,OUTRAS ATIVIDADES VAREJISTAS,17
AFOGADOS,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,EDUCACAO,16
AFOGADOS,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,CONSERVAÇÃO E LIMPEZA,16
AFOGADOS,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,16
BOA VIAGEM,PREPARACAO DE DOCUMENTOS E SERV ESPECIALIZ DE APOIO ADMINIST N/ ESP ANTERIORMENTE,OUTROS SERVICOS,16
BOA VISTA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",OUTRAS ATIVIDADES VAREJISTAS,16
BOA VISTA,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIP DE ÁUDIO E VÍDEO,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",16
GRACAS,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",16
IMBIRIBEIRA,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,16
JARDIM SAO PAULO,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",16
MADALENA,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,EDUCACAO,16
SAO JOSE,COMÉRCIO ATACADISTA DE ARTIGOS DE ARMARINHO,COMERCIO ATACADISTA,16
SAO JOSE,COMÉRCIO VAREJISTA DE MÓVEIS,OUTRAS ATIVIDADES VAREJISTAS,16
SAO JOSE,IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",16
SAO JOSE,REPARAÇÃO E MANUTENÇÃO DE EQUIP ELETROELETRÔN DE USO PESSOAL E DOMÉSTICO,CONSERVAÇÃO E LIMPEZA,16
VARZEA,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,16
AFOGADOS,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",TRANSPORTE E COMUNICACAO,15
AREIAS,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",15
BOA VIAGEM,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS,SAUDE,15
BOA VIAGEM,COM VAREJ DE PROD ALIMENT EM GERAL OU ESPECIALIZ EM PROD ALIMENT N/ ESP ANTERIORM,OUTRAS ATIVIDADES VAREJISTAS,15
BOA VIAGEM,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",15
BOA VIAGEM,COMÉRCIO VAREJISTA DE MÓVEIS,OUTRAS ATIVIDADES VAREJISTAS,15
BOA VIAGEM,Desenvolvimento de programas de computador sob encomenda,SERVICOS DE INFORMATICA,15
BOA VISTA,"Servicos de acabamento grafico, exceto encadernacao e plastificacao","FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",15
CASA AMARELA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,15
CORDEIRO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,EDUCACAO,15
CORDEIRO,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,INDUSTRIA GERAL,15
