nome_bairro,nome_grupo,desc_atividade,total,n
SANTO AMARO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,27939,27
SANTO AMARO,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,27939,27
AFOGADOS,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",36265,26
BOA VISTA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,14778,26
CASA AMARELA,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,29180,26
CORDEIRO,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,41164,26
MADALENA,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS","COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS",23082,26
SANTO AMARO,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,27939,26
SANTO AMARO,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,27939,26
CORDEIRO,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,41164,25
GRACAS,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,20538,25
IMBIRIBEIRA,TRANSPORTE E COMUNICACAO,"TRANSP RODOV DE CARGA, EXC PROD PERIG E MUDAN, INTERMUN, INTEREST E INTERNACIONAL",48512,25
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,Comercio a varejo de peças e acessórios novos para motocicletas e motonetas,8688,25
BOA VIAGEM,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,122922,24
BOA VIAGEM,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",Edição de jornais não diários,122922,24
BOA VISTA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,14778,24
ESPINHEIRO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,10438,24
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,8688,24
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,8688,24
BOA VIAGEM,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO","SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",122922,23
ESPINHEIRO,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,10438,23
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,25029,23
IPUTINGA,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,52200,23
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,23082,23
SANTO AMARO,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,27939,23
SANTO AMARO,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ADMINISTRAÇÃO PÚBLICA EM GERAL,27939,23
SANTO ANTONIO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,285,23
VARZEA,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",70453,23
BOA VIAGEM,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",SEDES DE EMPRESAS E UNIDADES ADMINISTRATIVAS LOCAI,122922,22
BOA VIAGEM,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",AGÊNCIAS DE VIAGENS,122922,22
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",29180,22
CORDEIRO,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,41164,22
GRACAS,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",20538,22
IMBIRIBEIRA,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",SEDES DE EMPRESAS E UNIDADES ADMINISTRATIVAS LOCAI,48512,22
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",48512,22
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,48512,22
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,23082,22
PINA,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,29176,22
PINA,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,29176,22
SANTO AMARO,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,27939,22
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,8688,22
BOA VIAGEM,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",OUTROS REPRESENTANTES COM E AGENTES DO COM ESP EM PROD N/ ESP ANTERIORMENTE,122922,21
BOA VIAGEM,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS OU FILOSOFICAS,122922,21
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",29180,21
IPUTINGA,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,52200,21
PINA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,29176,21
BOA VIAGEM,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO","ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁF, DE VÍDEOS E DE PROG DE TELEV N/ ESP ANTER",122922,20
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",122922,20
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",122922,20
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA,122922,20
BOA VISTA,SAUDE,"ATIVIDADES DE ATEND HOSPITALAR, EXC PRONTO-SOCORRO E UNIDADES P/ ATEND A URGÊNCIAS",14778,20
GRACAS,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,20538,20
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",25029,20
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,23082,20
MADALENA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,23082,20
SANTO ANTONIO,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIP DE ÁUDIO E VÍDEO,285,20
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,285,20
SAO JOSE,COMERCIO ATACADISTA,"COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁR E ACESSÓRIOS, EXC PROF E DE SEGURANÇA",8688,20
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",8688,20
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,8688,20
VARZEA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,70453,20
BOA VIAGEM,GUARDA E LOCACAO DE BENS MOVEIS,LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR,122922,19
BOA VIAGEM,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",SERVIÇOS ADVOCATÍCIOS,122922,19
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",122922,19
BOA VISTA,SAUDE,ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS P/ REALIZ DE EXAMES COMPLEMENTARES,14778,19
CAMPO GRANDE,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",32149,19
SANTO AMARO,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",27939,19
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,285,19
SAO JOSE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE TECIDOS,8688,19
VARZEA,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,70453,19
AFOGADOS,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,36265,18
AFOGADOS,INDUSTRIA GERAL,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,36265,18
BOA VIAGEM,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,122922,18
BOA VIAGEM,OUTROS SERVICOS,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,122922,18
BOA VIAGEM,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",CORRETAGEM NO ALUGUEL DE IMÓVEIS,122922,18
CAMPO GRANDE,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,32149,18
CORDEIRO,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,41164,18
CORDEIRO,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",41164,18
GRACAS,OUTRAS ATIVIDADES VAREJISTAS,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",20538,18
GRACAS,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,20538,18
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",52200,18
MADALENA,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",23082,18
PINA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,29176,18
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",285,18
SAO JOSE,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,8688,18
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",8688,18
VARZEA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,70453,18
AFOGADOS,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,36265,17
BOA VIAGEM,EDUCACAO,ENSINO DE IDIOMAS,122922,17
BOA VIAGEM,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",122922,17
BOA VISTA,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,14778,17
BOA VISTA,EDUCACAO,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,14778,17
CAMPO GRANDE,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,32149,17
CAMPO GRANDE,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,32149,17
CASA AMARELA,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,29180,17
CASA AMARELA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,29180,17
ESPINHEIRO,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,10438,17
IPSEP,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE BEBIDAS,25029,17
IPUTINGA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,52200,17
IPUTINGA,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,52200,17
MADALENA,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,23082,17
MADALENA,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,23082,17
PINA,OUTRAS ATIVIDADES VAREJISTAS,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",29176,17
RECIFE,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,602,17
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,285,17
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,8688,17
AFOGADOS,CONSERVAÇÃO E LIMPEZA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,36265,16
AFOGADOS,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,36265,16
AFOGADOS,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,36265,16
BOA VIAGEM,OUTROS SERVICOS,PREPARACAO DE DOCUMENTOS E SERV ESPECIALIZ DE APOIO ADMINIST N/ ESP ANTERIORMENTE,122922,16
BOA VISTA,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIP DE ÁUDIO E VÍDEO,14778,16
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",14778,16
GRACAS,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,20538,16
IMBIRIBEIRA,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,48512,16
JARDIM SAO PAULO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,31648,16
MADALENA,EDUCACAO,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,23082,16
SAO JOSE,COMERCIO ATACADISTA,COMÉRCIO ATACADISTA DE ARTIGOS DE ARMARINHO,8688,16
SAO JOSE,CONSERVAÇÃO E LIMPEZA,REPARAÇÃO E MANUTENÇÃO DE EQUIP ELETROELETRÔN DE USO PESSOAL E DOMÉSTICO,8688,16
SAO JOSE,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,8688,16
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MÓVEIS,8688,16
VARZEA,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,70453,16
AFOGADOS,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",36265,15
AREIAS,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,29894,15
BOA VIAGEM,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,122922,15
